#{"t_start": 1775412613.600419, "env_id": "Inverted_Pendulum_version_1"}
r,l,t
40.574118,500,0.791672
-0.969236,351,0.839533
10.126668,408,0.891626
4.607327,403,0.941763
41.518419,500,1.497185
45.636516,500,1.560762
53.828386,500,1.62569
35.877109,500,1.698071
2.691122,394,1.747661
4.70336,388,2.113071
42.651284,500,2.17596
35.253549,500,2.238574
46.190683,500,2.330806
-3.017973,363,2.707056
45.194198,500,2.769549
33.858397,500,2.832504
5.117608,449,2.88844
52.491678,500,3.268574
30.421058,500,3.331361
49.462941,500,3.393911
1.082208,423,3.44787
-1.284881,386,3.496711
9.4236,481,3.87987
10.557667,423,3.933319
13.328133,493,3.996147
-0.463413,334,4.037979
3.433729,383,4.085428
6.638389,435,4.455534
31.414561,500,4.518697
4.692944,450,4.574591
2.031417,403,4.624526
4.789635,395,5.028412
56.333805,500,5.096801
3.650038,437,5.161402
9.647163,492,5.239993
45.742577,500,5.326607
3.434877,484,5.737408
34.493871,500,5.799257
40.896876,500,5.861746
52.065432,500,5.923035
45.842215,500,6.308483
48.091453,500,6.371469
37.845209,500,6.433088
1.19096,472,6.491934
18.768237,500,6.868216
-0.592552,449,6.925257
24.202519,500,6.987176
4.60926,493,7.048446
43.524308,500,7.42294
-1.460079,417,7.474214
29.483672,500,7.535475
41.209923,500,7.596241
-0.262412,459,7.651951
27.29105,500,8.026002
30.406727,500,8.086973
53.823123,500,8.148232
21.924108,500,8.211194
25.308931,500,8.585368
41.619809,500,8.647437
46.085439,500,8.709765
43.558974,500,8.771335
54.522815,500,9.144559
50.404614,500,9.206288
53.335549,500,9.268089
55.263814,500,9.329574
54.075688,500,9.702117
26.497451,500,9.764539
51.569988,500,9.825955
22.219261,500,9.887106
20.325117,500,10.265144
24.496279,500,10.327913
51.144515,500,10.388944
55.177566,500,10.449628
53.259026,500,10.850041
43.410305,500,10.912677
41.962288,500,10.975053
30.388324,500,11.045268
51.37953,500,11.718502
56.028922,500,11.782714
42.590286,500,11.846078
47.502581,500,11.908307
51.204469,500,12.297554
54.742419,500,12.36049
44.220162,500,12.425064
49.989004,500,12.488334
44.354165,500,12.862642
52.395787,500,12.925159
48.138162,500,12.988033
51.425481,500,13.049597
56.848505,500,13.421991
48.545341,500,13.484228
39.166379,500,13.545263
41.520115,500,13.606935
39.808455,500,13.977372
43.434237,500,14.040206
52.801429,500,14.101594
47.404458,500,14.162966
55.800794,500,14.22523
52.835742,500,14.596422
57.37955,500,14.657181
43.072682,500,14.718887
54.434168,500,14.780283
41.987048,500,15.172709
54.078244,500,15.235082
48.917816,500,15.295982
54.174909,500,15.357267
44.66629,500,15.747777
53.797455,500,15.811247
48.261554,500,15.873853
47.77438,500,15.936724
46.923372,500,16.518586
56.553831,500,16.582692
50.776229,500,16.64614
47.436855,500,16.710128
52.574916,500,17.092752
48.932098,500,17.15606
46.396465,500,17.220158
48.899707,500,17.281976
48.046259,500,17.663251
53.176511,500,17.725942
52.21602,500,17.787132
48.520503,500,17.849
44.265974,500,18.222168
48.589947,500,18.284324
53.279286,500,18.346319
47.674047,500,18.406878
45.683111,500,18.778203
43.388918,500,18.839957
44.68508,500,18.901935
50.617119,500,18.963967
53.034347,500,19.333732
43.763762,500,19.395923
47.403617,500,19.457783
49.299663,500,19.519851
54.526291,500,19.888325
